Index,Year,State,County,Population,Studio,One Bedroom,Two Bedroom,Three Bedroom,Four Bedroom
0,2024,AL,Autauga County,55639,836.0,913.0,1092.0,1383.0,1753.0
1,2024,AL,Baldwin County,218289,1051.0,1056.0,1362.0,1670.0,2114.0
2,2024,AL,Barbour County,25026,652.0,656.0,857.0,1089.0,1141.0
3,2024,AL,Bibb County,22374,983.0,1109.0,1245.0,1570.0,1752.0
4,2024,AL,Blount County,57755,983.0,1109.0,1245.0,1570.0,1752.0
5,2024,AL,Bullock County,10173,642.0,666.0,857.0,1130.0,1283.0
6,2024,AL,Butler County,19726,665.0,760.0,888.0,1074.0,1186.0
7,2024,AL,Calhoun County,114324,683.0,687.0,903.0,1243.0,1319.0
8,2024,AL,Chambers County,33427,814.0,820.0,1077.0,1302.0,1434.0
9,2024,AL,Cherokee County,26035,664.0,726.0,887.0,1072.0,1327.0
10,2024,AL,Chilton County,44147,682.0,690.0,857.0,1164.0,1168.0
11,2024,AL,Choctaw County,12755,642.0,666.0,857.0,1102.0,1454.0
12,2024,AL,Clarke County,23866,642.0,666.0,857.0,1200.0,1454.0
13,2024,AL,Clay County,13285,620.0,700.0,857.0,1175.0,1258.0
14,2024,AL,Cleburne County,14952,669.0,694.0,894.0,1129.0,1338.0
15,2024,AL,Coffee County,52238,713.0,725.0,952.0,1342.0,1472.0
16,2024,AL,Colbert County,54957,664.0,720.0,940.0,1157.0,1425.0
17,2024,AL,Conecuh County,12219,642.0,666.0,857.0,1208.0,1283.0
18,2024,AL,Coosa County,10696,658.0,683.0,879.0,1063.0,1315.0
19,2024,AL,Covington County,37096,648.0,652.0,857.0,1133.0,1427.0
20,2024,AL,Crenshaw County,13826,642.0,652.0,857.0,1036.0,1141.0
21,2024,AL,Cullman County,83345,767.0,772.0,1002.0,1306.0,1462.0
22,2024,AL,Dale County,49293,743.0,754.0,857.0,1208.0,1454.0
23,2024,AL,Dallas County,38184,653.0,694.0,912.0,1129.0,1215.0
24,2024,AL,DeKalb County,71430,642.0,652.0,857.0,1159.0,1391.0
